trading_symbol,exchange_token
APCOTEXIND-EQ,154
NCC-EQ,2319
CIEINDIA-EQ,14937
MASKINVEST-EQ,18727
USHAMART-EQ,8840
WILLAMAGOR-EQ,3772
NILASPACES-EQ,7411
JAINREC-EQ,759244
SILVERCASE-EQ,30274
PSUBNKIETF-EQ,14584
STOVEKRAFT-EQ,2107
RAMANEWS-EQ,13565
NUVAMA-EQ,18721
WESTLIFE-EQ,11580
GOLDADD-EQ,15356
SHIVAMILLS-EQ,1497
ASPINWALL-EQ,17270
IOB-EQ,9348
TBZ-EQ,27037
ADANIPOWER-EQ,17388
JSL-EQ,11236
BHARATCOAL-EQ,760726
FOCUS-EQ,6836
GROWWNXT50-EQ,759458
GRSE-EQ,5475
DCMSRIND-EQ,7325
KIRLPNU-EQ,15180
BRIGADE-EQ,15184
OMAXAUTO-EQ,10922
NHPC-EQ,17400
KRISHNADEF-EQ,761192
NDGL-EQ,18371
ACI-EQ,12024
ADOR-EQ,34
IFBAGRO-EQ,1482
WSI-EQ,14828
AJOONI-EQ,3403
BBL-EQ,13761
ECOSMOBLTY-EQ,25060
VIVIMEDLAB-EQ,11965
DEEDEV-EQ,24154
AGROPHOS-EQ,9046
MUKTAARTS-EQ,8687
GMDCLTD-EQ,5204
IKS-EQ,28125
RCF-EQ,2866
LINC-EQ,6951
GOCOLORS-EQ,6964
MOMNC-EQ,760054
MAMATA-EQ,28687
LLOYDSENGG-EQ,17801
SANSERA-EQ,5751
TREEHOUSE-EQ,25082
LASA-EQ,21713
LIQUIDSHRI-EQ,24374
IRMENERGY-EQ,19597
JPOLYINVST-EQ,31507
GALAPREC-EQ,25134
TASTYBITE-EQ,20092
CHEMBOND-EQ,14618
CTE-EQ,14218
SAKUMA-EQ,13251
INDOTHAI-EQ,25608
MOSMALL250-EQ,23181
HILTON-EQ,14627
PAGEIND-EQ,14413
HDFCAMC-EQ,4244
DCBBANK-EQ,13725
PRESTIGE-EQ,20302
RAMCOSYS-EQ,7851
ICRA-EQ,14523
ORIENTBELL-EQ,14278
GATECH-EQ,17888
MOSERVICE-EQ,760001
MARALOVER-EQ,2112
DODLA-EQ,4822
AGIIL-EQ,24445
YATRA-EQ,18760
SBIETFPB-EQ,722
CYBERTECH-EQ,6051
RELCHEMQ-EQ,9652
EUROPRATIK-EQ,759797
MARUTI-EQ,10999
MANORAMA-EQ,10227
KRITI-EQ,6417
NSLNISP-EQ,14180
SBIETFCON-EQ,5168
NURECA-EQ,2350
EKC-EQ,13091
MAITHANALL-EQ,24538
MODISONLTD-EQ,3316
LPDC-EQ,16863
INTENTECH-EQ,20071
ANUP-EQ,9014
HAPPYFORGE-EQ,20854
REFEX-EQ,17764
VLSFINANCE-EQ,3715
INDRAMEDCO-EQ,4751
TERASOFT-EQ,19292
NIFTYIETF-EQ,29553
DIGIDRIVE-EQ,21247
FAIRCHEMOR-EQ,1614
BIL-EQ,7848
TEMBO-EQ,3275
GANECOS-EQ,6944
GOLDIETF-EQ,19679
ENIL-EQ,13192
BOROSCI-EQ,24014
QUESS-EQ,17704
DEEPAKNTR-EQ,19943
PRICOLLTD-EQ,19631
GHCLTEXTIL-EQ,16696
NBIFIN-EQ,19111
CEATLTD-EQ,15254
SURAKSHA-EQ,27334
NINSYS-EQ,14194
GARFIBRES-EQ,1100
SBINEQWETF-EQ,24524
TRITURBINE-EQ,25584
TATSILV-EQ,21428
HEG-EQ,1336
BASML-EQ,12034
NIBL-EQ,29733
SHANTI-EQ,5650
ALGOQUANT-EQ,761270
SPENCERS-EQ,8163
ARTNIRMAN-EQ,6156
GOKEX-EQ,11778
SAMPANN-EQ,27303
CENTRUM-EQ,2454
SERVOTECH-EQ,5507
GODREJPROP-EQ,17875
BAIDFIN-EQ,13794
EIEL-EQ,27213
DENORA-EQ,4279
KAUSHALYA-EQ,15136
MOM50-EQ,19289
FMCGIETF-EQ,5306
BGRENERGY-EQ,15189
NITCO-EQ,13300
WHIRLPOOL-EQ,18011
KSL-EQ,18889
GINNIFILA-EQ,1142
WAKEFIT-EQ,760259
SPARC-EQ,14788
BYKE-EQ,7919
BOSCH-HCIL-EQ,4491
WANBURY-EQ,14063
ESAFSFB-EQ,19878
MOHITIND-EQ,29423
AVANTEL-EQ,24610
ONESOURCE-EQ,29224
MACPOWER-EQ,22347
MWL-EQ,759169
SKYGOLD-EQ,13631
SURANAT&P-EQ,10700
ORIENTALTL-EQ,14346
PNBHOUSING-EQ,18908
CAPLIPOINT-EQ,3906
NRAIL-EQ,20314
CHALET-EQ,8546
AMBIKCO-EQ,15234
URJA-EQ,20203
HITECH-EQ,2868
UNOMINDA-EQ,14154
KALAMANDIR-EQ,18755
GEOJITFSL-EQ,11896
ARCHIDPLY-EQ,16795
RADIOCITY-EQ,19877
DVL-EQ,15214
HNGSNGBEES-EQ,18284
DISHTV-EQ,14537
DLINKINDIA-EQ,17851
PWL-EQ,759723
ANMOL-EQ,3727
ITBEES-EQ,19084
JUNIORBEES-EQ,10939
BDL-EQ,2144
A2ZINFRA-EQ,20906
HAL-EQ,2303
GIPCL-EQ,1145
NV20IETF-EQ,17475
UNITDSPR-EQ,10447
TNTELE-EQ,3512
CONTROLPR-EQ,17477
GOPAL-EQ,23066
HCLTECH-EQ,7229
IRIS-EQ,6489
XELPMOC-EQ,8477
TIRUPATIFL-EQ,22282
ESTER-EQ,24265
INDSWFTLAB-EQ,4870
KTKBANK-EQ,8054
SGFIN-EQ,758853
BUTTERFLY-EQ,2716
EBBETF0433-EQ,13139
FMNL-EQ,21017
SPMLINFRA-EQ,3321
MHLXMIRU-EQ,7886
BEML-EQ,395
UMESLTD-EQ,19142
RANEHOLDIN-EQ,2844
MAXHEALTH-EQ,22377
TIMKEN-EQ,14198
TRACXN-EQ,11582
DAVANGERE-EQ,21794
DEVIT-EQ,8146
AHCL-EQ,758968
SOLARINDS-EQ,13332
SNOWMAN-EQ,4843
HFCL-EQ,21951
INDIAMART-EQ,10726
ISFT-EQ,18479
BSHSL-EQ,809
ATLANTAA-EQ,13585
IXIGO-EQ,24067
MSCIINDIA-EQ,29758
ICIL-EQ,11987
MARATHON-EQ,18659
ESENSEX-EQ,759995
ALMONDZ-EQ,16719
VISASTEEL-EQ,13295
KRISHANA-EQ,12847
PVTBANKADD-EQ,17576
KRSNAA-EQ,5359
ATALREAL-EQ,15649
ATUL-EQ,263
AURUM-EQ,10310
SUDARSCHEM-EQ,3327
CMSINFO-EQ,7603
CAPILLARY-EQ,759867
CUB-EQ,5701
SEAMECLTD-EQ,2616
MOMENTUM-EQ,10693
INDIANB-EQ,14309
SIGIND-EQ,4522
CLEDUCATE-EQ,20223
MADRASFERT-EQ,4911
RPPL-EQ,6913
LICHSGFIN-EQ,1997
SHAREINDIA-EQ,104
GODAVARIB-EQ,25941
LINCOLN-EQ,11596
MICEL-EQ,7169
PKTEA-EQ,10321
AKI-EQ,14890
M&MFIN-EQ,13285
ENTERO-EQ,22717
ANANTRAJ-EQ,13620
ZODIAC-EQ,7129
HEXATRADEX-EQ,27008
METROBRAND-EQ,7242
SONACOMS-EQ,4684
DSSL-EQ,25690
AEROFLEX-EQ,18268
GLOBECIVIL-EQ,758572
ANTELOPUS-EQ,13598
COLPAL-EQ,15141
JKTYRE-EQ,14435
ODIGMA-EQ,27571
PALREDTEC-EQ,17062
ITC-EQ,1660
PENINLAND-EQ,2256
MOL-EQ,5394
KIRIINDUS-EQ,16639
GROWWMETAL-EQ,760438
MAFANG-EQ,3507
AKG-EQ,2176
RAJOOENG-EQ,757049
SHRADHA-EQ,708
SAIL-EQ,2963
PAR-EQ,5631
