Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
05 FEB 2026,ANANTRAJ,EQ,ANANT RAJ LIMITED        ,Listed    ,05 FEB 2026,               2.00,         359876930,            547.55,   197050613021.50  
05 FEB 2026,ANDHRAPAP,EQ,ANDHRA PAPER LIMITED     ,Listed    ,05 FEB 2026,               2.00,         198850195,             65.55,    13030653278.35 
05 FEB 2026,ANDHRSUGAR,EQ,ANDHRA SUGARS LTD        ,Listed    ,05 FEB 2026,               2.00,         135535390,             72.35,     9807340820.40
05 FEB 2026,ANGELONE,EQ,ANGEL ONE LIMITED        ,Listed    ,05 FEB 2026,              10.00,          90839339,           2645.00,   240270051655.00  
05 FEB 2026,ANIKINDS,EQ,ANIK INDUSTRIES LTD      ,Listed    ,05 FEB 2026,              10.00,          27753486,             49.90,     1385454021.10  
05 FEB 2026,ANKITMETAL,BZ,ANKIT MET & POW LTD      ,Listed    ,05 FEB 2026,              10.00,         141110500,              1.70,      238476745.00
05 FEB 2026,ANLON,SM,ANLON TECHNOLOGY SOL LTD ,Listed    ,05 FEB 2026,              10.00,           6255400,            377.30,     2360162420.00     
05 FEB 2026,ANMOL,EQ,ANMOL INDIA LIMITED      ,Listed    ,05 FEB 2026,              10.00,          56914150,             11.95,      680124092.50     
05 FEB 2026,ANNAPURNA,SM,ANNAPURNA SWADISHT LTD   ,Listed    ,05 FEB 2026,              10.00,          21820000,            215.90,     4710938000.00 
05 FEB 2026,ANONDITA,ST,ANONDITA MEDICARE LIMITED,Listed    ,16 JAN 2026,              10.00,          18086618,            952.85,    17233833961.30  
05 FEB 2026,ANSALAPI,BZ,ANSAL PROP & INFRA LTD   ,Listed    ,05 FEB 2026,               5.00,         157404876,              3.00,      469066530.50  
05 FEB 2026,ANTELOPUS,EQ,ANTELOPUS SELAN ENRGY LTD,Listed    ,05 FEB 2026,              10.00,          35162358,            586.60,    20626239202.80 
05 FEB 2026,ANTGRAPHIC,EQ,ANTARCTICA LTD           ,Listed    ,05 FEB 2026,               1.00,         155009600,              0.95,      147259120.00
05 FEB 2026,ANTHEM,EQ,ANTHEM BIOSCIENCES LTD   ,Listed    ,05 FEB 2026,               2.00,         561610051,            635.00,   356622382385.00    
05 FEB 2026,ANUHPHR,EQ,ANUH PHARMA LIMITED      ,Listed    ,05 FEB 2026,               5.00,         100224000,             79.80,     7995870720.00   
05 FEB 2026,ANUP,EQ,THE ANUP ENGINEERING LTD ,Listed    ,05 FEB 2026,              10.00,          20031466,           1900.40,    38067797986.40      
05 FEB 2026,ANURAS,EQ,ANUPAM RASAYAN INDIA LTD ,Listed    ,05 FEB 2026,              10.00,         113848310,           1306.10,   148697277691.00    
05 FEB 2026,ANYA,SM,ANYA POLYTECH & FERTI LTD,Listed    ,05 FEB 2026,               2.00,         120000000,             20.55,     2466000000.00      
05 FEB 2026,ANZEN,IV,ANZEN IND ENE YLD PLU TRU,Listed    ,05 FEB 2026,             100.00,         196193900,            117.50,    23052783250.00     
05 FEB 2026,APARINDS,EQ,APAR INDUSTRIES LTD.     ,Listed    ,05 FEB 2026,              10.00,          40168315,           9535.00,   383004883525.00  
